game_id,season,week,season_type,team,opponent,home_away,layer,statistic,official_value,reconstructed_value,raw_difference,absolute_difference,root_cause
401778302,2025,1,postseason,Washington,Boise State,home,raw,total_plays,62,61,-1,1,fumble_or_safety_swallows_scrimmage_type
401778302,2025,1,postseason,Washington,Boise State,home,raw,total_yards,355,345.0,-10.0,10.0,fumble_or_safety_swallows_scrimmage_type
401778302,2025,1,postseason,Washington,Boise State,home,raw,pass_attempts,28,27,-1,1,fumble_or_safety_swallows_scrimmage_type
401778302,2025,1,postseason,Washington,Boise State,home,raw,completions,17,16,-1,1,no_play_penalty
401778302,2025,1,postseason,Washington,Boise State,home,raw,net_pass_yards,228,218.0,-10.0,10.0,fumble_or_safety_swallows_scrimmage_type
401778302,2025,1,postseason,Boise State,Washington,away,raw,total_plays,71,68,-3,3,fumble_or_safety_swallows_scrimmage_type
401778302,2025,1,postseason,Boise State,Washington,away,raw,total_yards,311,313.0,2.0,2.0,fumble_or_safety_swallows_scrimmage_type
401778302,2025,1,postseason,Boise State,Washington,away,raw,pass_attempts,43,40,-3,3,fumble_or_safety_swallows_scrimmage_type
401778302,2025,1,postseason,Boise State,Washington,away,raw,rush_yards,58,60.0,2.0,2.0,fumble_or_safety_swallows_scrimmage_type
401778302,2025,1,postseason,Boise State,Washington,away,raw,turnovers,5,1,-4,4,no_play_penalty
401778302,2025,1,postseason,Boise State,Washington,away,raw,interceptions,5,1,-4,4,no_play_penalty
401778302,2025,1,postseason,Boise State,Washington,away,raw,third_down_attempts,16,15,-1,1,no_play_penalty
401778303,2025,1,postseason,Jacksonville State,Troy,home,raw,total_plays,65,64,-1,1,sack_accounting
401778303,2025,1,postseason,Jacksonville State,Troy,home,raw,total_yards,273,286.0,13.0,13.0,sack_accounting
401778303,2025,1,postseason,Jacksonville State,Troy,home,raw,rush_attempts,43,42,-1,1,sack_accounting
401778303,2025,1,postseason,Jacksonville State,Troy,home,raw,rush_yards,100,113.0,13.0,13.0,sack_accounting
401778303,2025,1,postseason,Jacksonville State,Troy,home,raw,turnovers,1,0,-1,1,spike_accounting
401778303,2025,1,postseason,Jacksonville State,Troy,home,raw,fumbles_lost,1,0,-1,1,spike_accounting
401778303,2025,1,postseason,Troy,Jacksonville State,away,raw,total_yards,217,222.0,5.0,5.0,sack_accounting
401778303,2025,1,postseason,Troy,Jacksonville State,away,raw,rush_yards,88,93.0,5.0,5.0,sack_accounting
401778304,2025,1,postseason,South Florida,Old Dominion,home,raw,total_plays,75,73,-2,2,fumble_or_safety_swallows_scrimmage_type
401778304,2025,1,postseason,South Florida,Old Dominion,home,raw,total_yards,333,336.0,3.0,3.0,fumble_or_safety_swallows_scrimmage_type
401778304,2025,1,postseason,South Florida,Old Dominion,home,raw,pass_attempts,40,38,-2,2,fumble_or_safety_swallows_scrimmage_type
401778304,2025,1,postseason,South Florida,Old Dominion,home,raw,completions,26,27,1,1,kneel_accounting
401778304,2025,1,postseason,South Florida,Old Dominion,home,raw,rush_yards,52,55.0,3.0,3.0,fumble_or_safety_swallows_scrimmage_type
401778304,2025,1,postseason,South Florida,Old Dominion,home,raw,turnovers,5,3,-2,2,kneel_accounting
401778304,2025,1,postseason,South Florida,Old Dominion,home,raw,interceptions,4,3,-1,1,kneel_accounting
401778304,2025,1,postseason,South Florida,Old Dominion,home,raw,fumbles_lost,1,0,-1,1,kneel_accounting
401778304,2025,1,postseason,South Florida,Old Dominion,home,raw,third_down_attempts,16,15,-1,1,kneel_accounting
401778304,2025,1,postseason,South Florida,Old Dominion,home,raw,fourth_down_attempts,1,0,-1,1,kneel_accounting
401778304,2025,1,postseason,Old Dominion,South Florida,away,raw,total_plays,81,80,-1,1,fumble_or_safety_swallows_scrimmage_type
401778304,2025,1,postseason,Old Dominion,South Florida,away,raw,total_yards,382,416.0,34.0,34.0,fumble_or_safety_swallows_scrimmage_type
401778304,2025,1,postseason,Old Dominion,South Florida,away,raw,rush_attempts,55,54,-1,1,fumble_or_safety_swallows_scrimmage_type
401778304,2025,1,postseason,Old Dominion,South Florida,away,raw,rush_yards,255,289.0,34.0,34.0,fumble_or_safety_swallows_scrimmage_type
401778304,2025,1,postseason,Old Dominion,South Florida,away,raw,turnovers,1,0,-1,1,kneel_accounting
401778304,2025,1,postseason,Old Dominion,South Florida,away,raw,fumbles_lost,1,0,-1,1,kneel_accounting
401778304,2025,1,postseason,Old Dominion,South Florida,away,raw,third_down_attempts,20,19,-1,1,kneel_accounting
401778305,2025,1,postseason,Louisiana,Delaware,away,raw,total_plays,77,76,-1,1,fumble_or_safety_swallows_scrimmage_type
401778305,2025,1,postseason,Louisiana,Delaware,away,raw,total_yards,335,339.0,4.0,4.0,fumble_or_safety_swallows_scrimmage_type
401778305,2025,1,postseason,Louisiana,Delaware,away,raw,rush_attempts,39,38,-1,1,fumble_or_safety_swallows_scrimmage_type
401778305,2025,1,postseason,Louisiana,Delaware,away,raw,rush_yards,104,108.0,4.0,4.0,fumble_or_safety_swallows_scrimmage_type
401778305,2025,1,postseason,Louisiana,Delaware,away,raw,turnovers,3,1,-2,2,no_play_penalty
401778305,2025,1,postseason,Louisiana,Delaware,away,raw,interceptions,1,0,-1,1,no_play_penalty
401778305,2025,1,postseason,Louisiana,Delaware,away,raw,fumbles_lost,2,1,-1,1,no_play_penalty
401778305,2025,1,postseason,Louisiana,Delaware,away,raw,fourth_down_attempts,5,4,-1,1,no_play_penalty
401838053,2025,1,postseason,Arkansas State,Missouri State,home,raw,total_plays,56,55,-1,1,fumble_or_safety_swallows_scrimmage_type
401838053,2025,1,postseason,Arkansas State,Missouri State,home,raw,total_yards,359,352.0,-7.0,7.0,fumble_or_safety_swallows_scrimmage_type
401838053,2025,1,postseason,Arkansas State,Missouri State,home,raw,rush_attempts,25,24,-1,1,fumble_or_safety_swallows_scrimmage_type
401838053,2025,1,postseason,Arkansas State,Missouri State,home,raw,rush_yards,71,64.0,-7.0,7.0,fumble_or_safety_swallows_scrimmage_type
401838053,2025,1,postseason,Arkansas State,Missouri State,home,raw,third_down_attempts,11,12,1,1,kneel_accounting
401838053,2025,1,postseason,Missouri State,Arkansas State,away,raw,total_plays,72,70,-2,2,fumble_or_safety_swallows_scrimmage_type
401838053,2025,1,postseason,Missouri State,Arkansas State,away,raw,total_yards,396,420.0,24.0,24.0,fumble_or_safety_swallows_scrimmage_type
401838053,2025,1,postseason,Missouri State,Arkansas State,away,raw,rush_attempts,37,35,-2,2,fumble_or_safety_swallows_scrimmage_type
401838053,2025,1,postseason,Missouri State,Arkansas State,away,raw,rush_yards,47,71.0,24.0,24.0,fumble_or_safety_swallows_scrimmage_type
401838053,2025,1,postseason,Missouri State,Arkansas State,away,raw,turnovers,2,0,-2,2,kneel_accounting
401838053,2025,1,postseason,Missouri State,Arkansas State,away,raw,fumbles_lost,2,0,-2,2,kneel_accounting
401778306,2025,1,postseason,Western Michigan,Kennesaw State,home,raw,total_plays,62,60,-2,2,fumble_or_safety_swallows_scrimmage_type
401778306,2025,1,postseason,Western Michigan,Kennesaw State,home,raw,total_yards,423,411.0,-12.0,12.0,fumble_or_safety_swallows_scrimmage_type
401778306,2025,1,postseason,Western Michigan,Kennesaw State,home,raw,pass_attempts,19,18,-1,1,fumble_or_safety_swallows_scrimmage_type
401778306,2025,1,postseason,Western Michigan,Kennesaw State,home,raw,rush_attempts,43,42,-1,1,fumble_or_safety_swallows_scrimmage_type
401778306,2025,1,postseason,Western Michigan,Kennesaw State,home,raw,rush_yards,303,291.0,-12.0,12.0,fumble_or_safety_swallows_scrimmage_type
401778306,2025,1,postseason,Western Michigan,Kennesaw State,home,raw,turnovers,2,1,-1,1,spike_accounting
401778306,2025,1,postseason,Western Michigan,Kennesaw State,home,raw,fumbles_lost,1,0,-1,1,spike_accounting
401778306,2025,1,postseason,Western Michigan,Kennesaw State,home,raw,third_down_attempts,13,12,-1,1,spike_accounting
401778306,2025,1,postseason,Kennesaw State,Western Michigan,away,raw,total_plays,70,66,-4,4,fumble_or_safety_swallows_scrimmage_type
401778306,2025,1,postseason,Kennesaw State,Western Michigan,away,raw,total_yards,378,395.0,17.0,17.0,fumble_or_safety_swallows_scrimmage_type
401778306,2025,1,postseason,Kennesaw State,Western Michigan,away,raw,pass_attempts,36,34,-2,2,fumble_or_safety_swallows_scrimmage_type
401778306,2025,1,postseason,Kennesaw State,Western Michigan,away,raw,rush_attempts,34,32,-2,2,fumble_or_safety_swallows_scrimmage_type
401778306,2025,1,postseason,Kennesaw State,Western Michigan,away,raw,rush_yards,169,186.0,17.0,17.0,fumble_or_safety_swallows_scrimmage_type
401778306,2025,1,postseason,Kennesaw State,Western Michigan,away,raw,turnovers,4,3,-1,1,spike_accounting
401778306,2025,1,postseason,Kennesaw State,Western Michigan,away,raw,fumbles_lost,2,1,-1,1,spike_accounting
401778306,2025,1,postseason,Kennesaw State,Western Michigan,away,raw,third_down_attempts,14,13,-1,1,spike_accounting
401778307,2025,1,postseason,NC State,Memphis,home,raw,total_yards,337,346.0,9.0,9.0,fumble_or_safety_swallows_scrimmage_type
401778307,2025,1,postseason,NC State,Memphis,home,raw,rush_yards,116,125.0,9.0,9.0,fumble_or_safety_swallows_scrimmage_type
401778307,2025,1,postseason,Memphis,NC State,away,raw,total_plays,70,69,-1,1,fumble_or_safety_swallows_scrimmage_type
401778307,2025,1,postseason,Memphis,NC State,away,raw,total_yards,303,312.0,9.0,9.0,fumble_or_safety_swallows_scrimmage_type
401778307,2025,1,postseason,Memphis,NC State,away,raw,pass_attempts,34,35,1,1,fumble_or_safety_swallows_scrimmage_type
401778307,2025,1,postseason,Memphis,NC State,away,raw,completions,20,21,1,1,no_play_penalty
401778307,2025,1,postseason,Memphis,NC State,away,raw,rush_attempts,36,34,-2,2,fumble_or_safety_swallows_scrimmage_type
401778307,2025,1,postseason,Memphis,NC State,away,raw,rush_yards,149,158.0,9.0,9.0,fumble_or_safety_swallows_scrimmage_type
401778307,2025,1,postseason,Memphis,NC State,away,raw,turnovers,2,1,-1,1,no_play_penalty
401778307,2025,1,postseason,Memphis,NC State,away,raw,fumbles_lost,1,0,-1,1,no_play_penalty
401779840,2025,1,postseason,Oklahoma,Alabama,home,raw,total_plays,75,74,-1,1,fumble_or_safety_swallows_scrimmage_type
401779840,2025,1,postseason,Oklahoma,Alabama,home,raw,total_yards,362,365.0,3.0,3.0,fumble_or_safety_swallows_scrimmage_type
401779840,2025,1,postseason,Oklahoma,Alabama,home,raw,pass_attempts,42,41,-1,1,fumble_or_safety_swallows_scrimmage_type
401779840,2025,1,postseason,Oklahoma,Alabama,home,raw,rush_yards,55,58.0,3.0,3.0,fumble_or_safety_swallows_scrimmage_type
401779840,2025,1,postseason,Alabama,Oklahoma,away,raw,total_yards,260,258.0,-2.0,2.0,fumble_or_safety_swallows_scrimmage_type
401779840,2025,1,postseason,Alabama,Oklahoma,away,raw,rush_yards,28,26.0,-2.0,2.0,fumble_or_safety_swallows_scrimmage_type
401779841,2025,1,postseason,Texas A&M,Miami,home,raw,total_plays,75,73,-2,2,fumble_or_safety_swallows_scrimmage_type
401779841,2025,1,postseason,Texas A&M,Miami,home,raw,total_yards,326,334.0,8.0,8.0,fumble_or_safety_swallows_scrimmage_type
401779841,2025,1,postseason,Texas A&M,Miami,home,raw,pass_attempts,40,39,-1,1,fumble_or_safety_swallows_scrimmage_type
401779841,2025,1,postseason,Texas A&M,Miami,home,raw,rush_attempts,35,34,-1,1,fumble_or_safety_swallows_scrimmage_type
401779841,2025,1,postseason,Texas A&M,Miami,home,raw,rush_yards,89,97.0,8.0,8.0,fumble_or_safety_swallows_scrimmage_type
401779841,2025,1,postseason,Texas A&M,Miami,home,raw,turnovers,3,2,-1,1,kneel_accounting
401779841,2025,1,postseason,Texas A&M,Miami,home,raw,fumbles_lost,1,0,-1,1,kneel_accounting
401779841,2025,1,postseason,Texas A&M,Miami,home,raw,third_down_attempts,18,17,-1,1,kneel_accounting
401779841,2025,1,postseason,Miami,Texas A&M,away,raw,total_plays,49,46,-3,3,fumble_or_safety_swallows_scrimmage_type
401779841,2025,1,postseason,Miami,Texas A&M,away,raw,total_yards,278,248.0,-30.0,30.0,fumble_or_safety_swallows_scrimmage_type
401779841,2025,1,postseason,Miami,Texas A&M,away,raw,pass_attempts,21,20,-1,1,fumble_or_safety_swallows_scrimmage_type
401779841,2025,1,postseason,Miami,Texas A&M,away,raw,completions,14,13,-1,1,kneel_accounting
401779841,2025,1,postseason,Miami,Texas A&M,away,raw,net_pass_yards,103,91.0,-12.0,12.0,fumble_or_safety_swallows_scrimmage_type
401779841,2025,1,postseason,Miami,Texas A&M,away,raw,rush_attempts,28,26,-2,2,fumble_or_safety_swallows_scrimmage_type
401779841,2025,1,postseason,Miami,Texas A&M,away,raw,rush_yards,175,157.0,-18.0,18.0,fumble_or_safety_swallows_scrimmage_type
401779841,2025,1,postseason,Miami,Texas A&M,away,raw,turnovers,1,0,-1,1,kneel_accounting
401779841,2025,1,postseason,Miami,Texas A&M,away,raw,fumbles_lost,1,0,-1,1,kneel_accounting
401779841,2025,1,postseason,Miami,Texas A&M,away,raw,third_down_attempts,12,11,-1,1,kneel_accounting
401779842,2025,1,postseason,Ole Miss,Tulane,home,raw,total_plays,68,67,-1,1,fumble_or_safety_swallows_scrimmage_type
401779842,2025,1,postseason,Ole Miss,Tulane,home,raw,total_yards,497,508.0,11.0,11.0,fumble_or_safety_swallows_scrimmage_type
401779842,2025,1,postseason,Ole Miss,Tulane,home,raw,rush_attempts,34,33,-1,1,fumble_or_safety_swallows_scrimmage_type
401779842,2025,1,postseason,Ole Miss,Tulane,home,raw,rush_yards,151,162.0,11.0,11.0,fumble_or_safety_swallows_scrimmage_type
401779842,2025,1,postseason,Ole Miss,Tulane,home,raw,turnovers,1,0,-1,1,kneel_accounting
401779842,2025,1,postseason,Ole Miss,Tulane,home,raw,fumbles_lost,1,0,-1,1,kneel_accounting
401779842,2025,1,postseason,Tulane,Ole Miss,away,raw,total_plays,71,69,-2,2,fumble_or_safety_swallows_scrimmage_type
401779842,2025,1,postseason,Tulane,Ole Miss,away,raw,total_yards,421,424.0,3.0,3.0,fumble_or_safety_swallows_scrimmage_type
401779842,2025,1,postseason,Tulane,Ole Miss,away,raw,pass_attempts,37,36,-1,1,fumble_or_safety_swallows_scrimmage_type
401779842,2025,1,postseason,Tulane,Ole Miss,away,raw,rush_attempts,34,33,-1,1,fumble_or_safety_swallows_scrimmage_type
401779842,2025,1,postseason,Tulane,Ole Miss,away,raw,rush_yards,115,118.0,3.0,3.0,fumble_or_safety_swallows_scrimmage_type
401779842,2025,1,postseason,Tulane,Ole Miss,away,raw,turnovers,3,2,-1,1,kneel_accounting
401779842,2025,1,postseason,Tulane,Ole Miss,away,raw,fumbles_lost,2,1,-1,1,kneel_accounting
401779842,2025,1,postseason,Tulane,Ole Miss,away,raw,fourth_down_attempts,4,3,-1,1,kneel_accounting
401779843,2025,1,postseason,Oregon,James Madison,home,raw,total_plays,53,50,-3,3,fumble_or_safety_swallows_scrimmage_type
401779843,2025,1,postseason,Oregon,James Madison,home,raw,total_yards,514,506.0,-8.0,8.0,fumble_or_safety_swallows_scrimmage_type
401779843,2025,1,postseason,Oregon,James Madison,home,raw,pass_attempts,27,25,-2,2,fumble_or_safety_swallows_scrimmage_type
401779843,2025,1,postseason,Oregon,James Madison,home,raw,rush_attempts,26,25,-1,1,fumble_or_safety_swallows_scrimmage_type
401779843,2025,1,postseason,Oregon,James Madison,home,raw,rush_yards,201,193.0,-8.0,8.0,fumble_or_safety_swallows_scrimmage_type
401779843,2025,1,postseason,Oregon,James Madison,home,raw,turnovers,2,1,-1,1,kneel_accounting
401779843,2025,1,postseason,Oregon,James Madison,home,raw,interceptions,2,1,-1,1,kneel_accounting
401779843,2025,1,postseason,Oregon,James Madison,home,raw,third_down_attempts,7,6,-1,1,kneel_accounting
401779843,2025,1,postseason,James Madison,Oregon,away,raw,total_plays,84,83,-1,1,fumble_or_safety_swallows_scrimmage_type
401779843,2025,1,postseason,James Madison,Oregon,away,raw,total_yards,509,510.0,1.0,1.0,fumble_or_safety_swallows_scrimmage_type
401779843,2025,1,postseason,James Madison,Oregon,away,raw,rush_attempts,35,34,-1,1,fumble_or_safety_swallows_scrimmage_type
401779843,2025,1,postseason,James Madison,Oregon,away,raw,rush_yards,186,187.0,1.0,1.0,fumble_or_safety_swallows_scrimmage_type
401778308,2025,1,postseason,Washington State,Utah State,away,raw,total_plays,88,85,-3,3,sack_accounting
401778308,2025,1,postseason,Washington State,Utah State,away,raw,total_yards,628,635.0,7.0,7.0,sack_accounting
401778308,2025,1,postseason,Washington State,Utah State,away,raw,pass_attempts,47,44,-3,3,sack_accounting
401778308,2025,1,postseason,Washington State,Utah State,away,raw,rush_yards,255,262.0,7.0,7.0,sack_accounting
401778308,2025,1,postseason,Washington State,Utah State,away,raw,third_down_attempts,18,15,-3,3,kneel_accounting
401778309,2025,1,postseason,Louisville,Toledo,home,raw,total_plays,60,58,-2,2,fumble_or_safety_swallows_scrimmage_type
401778309,2025,1,postseason,Louisville,Toledo,home,raw,total_yards,333,321.0,-12.0,12.0,fumble_or_safety_swallows_scrimmage_type
401778309,2025,1,postseason,Louisville,Toledo,home,raw,rush_attempts,36,34,-2,2,fumble_or_safety_swallows_scrimmage_type
401778309,2025,1,postseason,Louisville,Toledo,home,raw,rush_yards,180,168.0,-12.0,12.0,fumble_or_safety_swallows_scrimmage_type
401778309,2025,1,postseason,Louisville,Toledo,home,raw,turnovers,1,0,-1,1,kneel_accounting
401778309,2025,1,postseason,Louisville,Toledo,home,raw,fumbles_lost,1,0,-1,1,kneel_accounting
401778309,2025,1,postseason,Toledo,Louisville,away,raw,total_plays,68,67,-1,1,fumble_or_safety_swallows_scrimmage_type
401778309,2025,1,postseason,Toledo,Louisville,away,raw,total_yards,336,349.0,13.0,13.0,fumble_or_safety_swallows_scrimmage_type
