game_id,season,week,season_type,team,opponent,home_away,classification,opponent_classification,box_score_available,box_points,box_total_plays,box_total_yards,box_pass_attempts,box_completions,box_net_pass_yards,box_rush_attempts,box_rush_yards,box_turnovers,box_interceptions,box_fumbles_lost,box_third_down_attempts,box_third_down_conversions,box_fourth_down_attempts,box_fourth_down_conversions,raw_points,raw_total_plays,raw_total_yards,raw_pass_attempts,raw_completions,raw_net_pass_yards,raw_rush_attempts,raw_rush_yards,raw_turnovers,raw_interceptions,raw_fumbles_lost,raw_third_down_attempts,raw_third_down_conversions,raw_fourth_down_attempts,raw_fourth_down_conversions,canon_points,canon_total_plays,canon_total_yards,canon_pass_attempts,canon_completions,canon_net_pass_yards,canon_rush_attempts,canon_rush_yards,canon_turnovers,canon_interceptions,canon_fumbles_lost,canon_third_down_attempts,canon_third_down_conversions,canon_fourth_down_attempts,canon_fourth_down_conversions,canonfix_interceptions,canonfix_fumbles_lost,canonfix_turnovers,canondedup_rush_attempts,canondedup_rush_yards,canondedup_pass_attempts,canondedup_net_pass_yards,canondedup_total_plays,canondedup_total_yards
401856766,2026,1,regular,TCU,North Carolina,home,fbs,fbs,True,10,71,281,32,20,175,39,106,1,0,1,16,7,5,1,10,68,322.0,32,20,175.0,36,147.0,0,0,0,17,7,4,1,10,71,281.0,32,20,175.0,39,106.0,0,0,0,17,7,4,1,0,0,0,39,106.0,32,175.0,71,281.0
401856766,2026,1,regular,North Carolina,TCU,away,fbs,fbs,True,15,57,322,28,16,232,29,90,2,0,2,11,3,1,1,15,55,308.0,27,15,222.0,28,86.0,2,0,2,11,3,1,1,15,57,322.0,28,16,232.0,29,90.0,2,0,2,11,3,1,1,0,2,2,29,90.0,28,232.0,57,322.0
401864494,2026,1,regular,USC,San José State,home,fbs,fbs,True,42,76,505,36,30,341,40,164,1,1,0,13,9,2,1,42,75,505.0,35,30,341.0,40,164.0,1,1,0,12,9,2,1,42,75,505.0,35,30,341.0,40,164.0,1,1,0,12,9,2,1,1,0,1,40,164.0,35,341.0,75,505.0
401864494,2026,1,regular,San José State,USC,away,fbs,fbs,True,26,56,336,32,21,234,24,102,0,0,0,11,5,1,0,26,56,257.0,32,21,155.0,24,102.0,0,0,0,11,5,1,0,26,56,257.0,32,21,155.0,24,102.0,0,0,0,11,5,1,0,0,0,0,24,102.0,32,155.0,56,257.0
401858202,2026,1,regular,Virginia,NC State,home,fbs,fbs,True,34,68,413,11,9,155,57,258,0,0,0,14,3,4,4,34,68,418.0,11,9,155.0,57,263.0,0,0,0,14,3,4,4,34,68,413.0,11,9,155.0,57,258.0,0,0,0,14,3,4,4,0,0,0,57,258.0,11,155.0,68,413.0
401858202,2026,1,regular,NC State,Virginia,away,fbs,fbs,True,8,51,168,27,15,92,24,76,2,1,1,13,4,1,0,8,50,156.0,27,15,92.0,23,64.0,1,1,0,13,4,1,0,8,51,168.0,27,15,92.0,24,76.0,1,1,0,13,4,1,0,1,1,2,24,76.0,27,92.0,51,168.0
401864577,2026,1,regular,North Dakota State,Jacksonville State,home,fbs,fbs,True,33,67,373,23,15,164,44,209,1,1,0,14,5,2,2,33,67,373.0,23,15,164.0,44,209.0,1,1,0,14,5,2,2,33,67,373.0,23,15,164.0,44,209.0,1,1,0,14,5,2,2,1,0,1,44,209.0,23,164.0,67,373.0
401864577,2026,1,regular,Jacksonville State,North Dakota State,away,fbs,fbs,True,7,54,170,23,12,85,31,85,2,1,1,10,2,2,1,7,50,189.0,22,12,85.0,28,104.0,1,0,1,10,2,2,1,7,53,185.0,22,12,85.0,31,100.0,1,0,1,10,2,2,1,1,1,2,31,100.0,22,85.0,53,185.0
401866408,2026,1,regular,Eastern Michigan,Sacramento State,home,fbs,fbs,True,28,68,348,38,27,279,30,69,1,0,1,15,5,0,0,28,67,358.0,38,27,279.0,29,79.0,1,0,1,14,5,0,0,28,68,387.0,38,27,279.0,30,108.0,1,0,1,14,5,0,0,0,1,1,30,108.0,38,279.0,68,387.0
401866408,2026,1,regular,Sacramento State,Eastern Michigan,away,fbs,fbs,True,17,63,268,46,25,219,17,49,2,1,1,14,3,2,1,17,61,283.0,45,25,224.0,16,59.0,1,1,0,13,3,2,1,17,62,273.0,45,25,224.0,17,49.0,1,1,0,13,3,2,1,1,0,1,17,49.0,45,224.0,62,273.0
401858201,2026,1,regular,Stanford,Hawai'i,home,fbs,fbs,True,37,71,483,34,22,310,37,173,0,0,0,16,7,2,1,37,71,483.0,34,22,310.0,37,173.0,0,0,0,15,7,2,1,37,71,483.0,34,22,310.0,37,173.0,0,0,0,15,7,2,1,0,0,0,37,173.0,34,310.0,71,483.0
401858201,2026,1,regular,Hawai'i,Stanford,away,fbs,fbs,True,27,74,322,52,31,276,22,46,1,0,1,19,8,2,2,27,72,315.0,51,30,266.0,21,49.0,0,0,0,16,6,2,2,27,73,323.0,52,31,276.0,21,47.0,0,0,0,16,6,2,2,0,1,1,21,47.0,52,276.0,73,323.0
401864570,2026,1,regular,Florida State,New Mexico State,home,fbs,fbs,True,34,66,419,27,17,202,39,217,1,1,0,14,8,1,1,34,66,423.0,27,17,202.0,39,221.0,1,1,0,14,8,1,1,34,66,419.0,27,17,202.0,39,217.0,1,1,0,14,8,1,1,1,0,1,39,217.0,27,202.0,66,419.0
401864570,2026,1,regular,New Mexico State,Florida State,away,fbs,fbs,True,17,66,319,43,26,272,23,47,1,1,0,17,10,2,1,17,65,332.0,43,26,272.0,22,60.0,1,1,0,17,10,2,1,17,65,332.0,43,26,272.0,22,60.0,1,1,0,17,10,2,1,1,0,1,22,60.0,43,272.0,65,332.0
401862693,2026,1,regular,UNLV,Memphis,home,fbs,fbs,True,21,79,460,38,25,291,41,169,0,0,0,15,3,5,2,21,78,467.0,38,25,291.0,40,176.0,0,0,0,15,3,5,2,21,78,460.0,38,25,291.0,40,169.0,1,0,1,15,3,5,2,0,1,1,40,169.0,38,291.0,78,460.0
401862693,2026,1,regular,Memphis,UNLV,away,fbs,fbs,True,27,60,418,26,15,223,34,195,1,0,1,11,3,0,0,27,58,397.0,25,14,204.0,33,193.0,0,0,0,11,3,0,0,27,59,416.0,26,15,223.0,33,193.0,0,0,0,11,3,0,0,0,0,0,33,193.0,26,223.0,59,416.0
401858423,2026,1,regular,Rutgers,Massachusetts,home,fbs,fbs,True,21,63,349,38,22,319,25,30,4,3,1,11,3,5,4,21,58,353.0,35,22,319.0,23,34.0,2,2,0,11,3,5,4,21,59,348.0,35,22,319.0,24,29.0,2,2,0,11,3,5,4,2,0,2,24,29.0,35,319.0,59,348.0
401858423,2026,1,regular,Massachusetts,Rutgers,away,fbs,fbs,True,37,63,397,22,19,197,41,200,0,0,0,11,4,1,1,37,62,401.0,22,19,197.0,40,204.0,0,0,0,11,4,1,1,37,63,397.0,22,19,197.0,41,200.0,1,1,0,11,4,1,1,1,0,1,41,200.0,22,197.0,63,397.0
401866409,2026,1,regular,Buffalo,UAlbany,home,fbs,fcs,True,21,80,340,47,26,189,33,151,1,0,1,21,10,0,0,21,79,348.0,47,26,189.0,32,159.0,0,0,0,20,10,0,0,21,80,348.0,47,26,189.0,33,159.0,0,0,0,20,10,0,0,0,0,0,33,159.0,47,189.0,80,348.0
401866409,2026,1,regular,UAlbany,Buffalo,away,fcs,fbs,True,17,72,276,41,19,204,31,72,1,1,0,19,5,2,1,17,72,276.0,41,19,204.0,31,72.0,1,1,0,19,5,2,1,17,72,276.0,41,19,204.0,31,72.0,1,1,0,19,5,2,1,1,0,1,31,72.0,41,204.0,72,276.0
401864425,2026,1,regular,Kennesaw State,West Georgia,home,fbs,fcs,True,47,81,508,34,26,211,47,297,2,1,1,14,7,2,1,47,78,529.0,33,26,226.0,45,303.0,2,1,1,13,7,2,1,47,80,523.0,33,26,226.0,47,297.0,2,1,1,13,7,2,1,1,2,3,47,297.0,33,226.0,80,523.0
401864425,2026,1,regular,West Georgia,Kennesaw State,away,fcs,fbs,True,0,51,160,26,15,111,25,49,2,0,2,12,0,1,0,0,49,157.0,26,15,111.0,23,46.0,1,0,1,12,0,1,0,0,51,160.0,26,15,111.0,25,49.0,1,0,1,12,0,1,0,0,1,1,25,49.0,26,111.0,51,160.0
401864424,2026,1,regular,Delaware,Merrimack,home,fbs,fcs,True,42,73,547,44,24,435,29,112,1,1,0,13,6,1,1,42,70,530.0,42,23,411.0,28,119.0,1,1,0,12,6,1,1,42,71,524.0,42,23,411.0,29,113.0,2,1,1,12,6,1,1,1,1,2,29,113.0,42,411.0,71,524.0
401864424,2026,1,regular,Merrimack,Delaware,away,fcs,fbs,True,7,70,244,45,21,196,25,48,2,1,1,16,4,3,1,7,68,256.0,45,21,196.0,23,60.0,1,1,0,17,4,3,1,7,70,244.0,45,21,196.0,25,48.0,1,1,0,17,4,3,1,1,1,2,25,48.0,45,196.0,70,244.0
401858204,2026,1,regular,Wake Forest,Akron,home,fbs,fbs,True,38,68,559,35,22,356,33,203,0,0,0,15,7,2,2,38,66,562.0,35,22,356.0,31,206.0,0,0,0,14,7,2,2,38,67,555.0,35,22,356.0,32,199.0,0,0,0,14,7,2,2,0,0,0,32,199.0,35,356.0,67,555.0
401858204,2026,1,regular,Akron,Wake Forest,away,fbs,fbs,True,16,69,305,33,28,156,36,149,1,0,1,13,6,1,0,16,67,301.0,33,28,156.0,34,145.0,1,0,1,13,6,1,0,16,68,302.0,33,28,156.0,35,146.0,1,0,1,13,6,1,0,0,1,1,35,146.0,33,156.0,68,302.0
401856767,2026,1,regular,UCF,Bethune-Cookman,home,fbs,fcs,True,73,60,560,22,15,200,38,360,1,1,0,8,5,0,0,73,59,560.0,21,15,200.0,38,360.0,1,1,0,8,5,0,0,73,59,560.0,21,15,200.0,38,360.0,2,2,0,8,5,0,0,2,0,2,38,360.0,21,200.0,59,560.0
401856767,2026,1,regular,Bethune-Cookman,UCF,away,fcs,fbs,True,6,60,181,20,10,74,40,107,2,1,1,16,3,0,0,6,57,184.0,19,10,74.0,38,110.0,0,0,0,15,3,0,0,6,60,183.0,19,10,74.0,41,109.0,0,0,0,15,3,0,0,0,0,0,41,109.0,19,74.0,60,183.0
401858422,2026,1,regular,Minnesota,Eastern Illinois,home,fbs,fcs,True,59,71,495,33,26,348,38,147,1,0,1,15,10,1,1,59,70,477.0,32,25,330.0,38,147.0,1,0,1,15,10,1,1,59,71,495.0,33,26,348.0,38,147.0,1,0,1,15,10,1,1,0,1,1,38,147.0,33,348.0,71,495.0
401858422,2026,1,regular,Eastern Illinois,Minnesota,away,fcs,fbs,True,7,43,110,15,9,59,28,51,0,0,0,13,3,0,0,7,42,113.0,15,9,59.0,27,54.0,0,0,0,13,3,0,0,7,43,110.0,15,9,59.0,28,51.0,0,0,0,13,3,0,0,0,0,0,28,51.0,15,59.0,43,110.0
401856663,2026,1,regular,Missouri,Arkansas-Pine Bluff,home,fbs,fcs,True,54,78,562,33,26,357,45,205,1,0,1,10,6,2,2,54,76,546.0,32,25,348.0,44,198.0,1,0,1,10,6,2,2,54,77,553.0,33,26,357.0,44,196.0,1,0,1,10,6,2,2,0,1,1,44,196.0,33,357.0,77,553.0
401856663,2026,1,regular,Arkansas-Pine Bluff,Missouri,away,fcs,fbs,True,14,53,198,24,11,109,29,89,0,0,0,13,3,1,0,14,51,228.0,23,10,94.0,28,134.0,0,0,0,12,2,0,0,14,52,243.0,24,11,109.0,28,134.0,0,0,0,12,2,0,0,0,0,0,28,134.0,24,109.0,52,243.0
401856776,2026,1,regular,Georgia Tech,Colorado,home,fbs,fbs,True,13,54,288,24,17,237,30,51,1,0,1,13,5,0,0,13,52,293.0,24,17,237.0,28,56.0,0,0,0,13,5,0,0,13,54,288.0,24,17,237.0,30,51.0,0,0,0,13,5,0,0,0,0,0,30,51.0,24,237.0,54,288.0
401856776,2026,1,regular,Colorado,Georgia Tech,away,fbs,fbs,True,14,76,307,27,14,124,49,183,0,0,0,17,7,3,2,14,72,308.0,27,13,116.0,45,192.0,0,0,0,16,7,3,2,14,75,290.0,27,13,116.0,48,174.0,1,0,1,16,7,3,2,0,1,1,48,174.0,27,116.0,75,290.0
401856768,2026,1,regular,Utah,Idaho,home,fbs,fcs,True,66,75,633,26,17,269,49,364,0,0,0,12,8,2,1,66,75,633.0,26,17,269.0,49,364.0,0,0,0,12,8,2,1,66,75,633.0,26,17,269.0,49,364.0,0,0,0,12,8,2,1,0,0,0,49,364.0,26,269.0,75,633.0
401856768,2026,1,regular,Idaho,Utah,away,fcs,fbs,True,14,61,225,30,11,119,31,106,2,1,1,13,3,2,1,14,59,233.0,29,11,119.0,30,114.0,1,1,0,12,3,2,1,14,60,225.0,29,11,119.0,31,106.0,1,1,0,12,3,2,1,1,1,2,31,106.0,29,119.0,60,225.0
401858424,2026,1,regular,Illinois,UAB,home,fbs,fbs,True,42,43,332,17,13,182,26,150,0,0,0,6,3,2,1,42,43,332.0,17,13,182.0,26,150.0,0,0,0,6,3,2,1,42,43,332.0,17,13,182.0,26,150.0,0,0,0,6,3,2,1,0,0,0,26,150.0,17,182.0,43,332.0
401858424,2026,1,regular,UAB,Illinois,away,fbs,fbs,True,23,79,413,31,18,219,48,194,1,1,0,19,10,4,3,23,76,411.0,29,18,219.0,47,192.0,0,0,0,19,10,3,3,23,76,411.0,29,18,219.0,47,192.0,0,0,0,19,10,3,3,1,0,1,47,192.0,29,219.0,76,411.0
401864495,2026,1,regular,Eastern Michigan,San José State,home,fbs,fbs,True,21,68,281,43,24,174,25,107,1,1,0,16,3,4,1,21,68,281.0,43,24,174.0,25,107.0,1,1,0,16,3,4,1,21,68,281.0,43,24,174.0,25,107.0,1,1,0,16,3,4,1,1,0,1,25,107.0,43,174.0,68,281.0
401864495,2026,1,regular,San José State,Eastern Michigan,away,fbs,fbs,True,27,77,453,41,23,316,36,137,2,1,1,16,5,2,1,27,74,457.0,40,23,316.0,34,141.0,0,0,0,16,5,2,1,27,75,458.0,40,23,316.0,35,142.0,0,0,0,16,5,2,1,1,0,1,35,142.0,40,316.0,75,458.0
401866623,2026,1,regular,Georgia State,North Carolina A&T,home,fbs,fcs,True,59,71,563,33,25,279,38,284,0,0,0,12,7,1,1,59,69,550.0,33,25,279.0,36,271.0,0,0,0,12,7,1,1,59,69,550.0,33,25,279.0,36,271.0,0,0,0,12,7,1,1,0,0,0,36,271.0,33,279.0,69,550.0
