team,gamesPlayed,avgMarginVsAll,avgWinProbVsAll,opponentsSimulated,rank,netAprRank,netApr,record
Mississippi State,3,22.23,0.8784,137,1,5,16.914,3-0
LSU,3,20.41,0.8565,137,2,14,11.458,2-1
Ohio State,3,18.07,0.8265,137,3,15,11.377,2-1
Alabama,3,17.28,0.8167,137,4,6,14.973,3-0
Georgia,3,17.07,0.8121,137,5,35,5.919,3-0
Notre Dame,3,16.66,0.8105,137,6,2,19.621,3-0
Louisville,3,16.31,0.8006,137,7,26,7.141,2-1
Utah,3,15.77,0.7942,137,8,8,13.653,3-0
Texas,3,15.29,0.7889,137,9,3,18.992,3-0
Iowa,3,15.27,0.786,137,10,32,6.099,3-0
Florida,3,14.47,0.7756,137,11,11,13.101,3-0
Maryland,3,14.44,0.7746,137,12,41,5.226,2-1
Ole Miss,3,14.33,0.7733,137,13,12,12.436,3-0
Indiana,3,14.05,0.7693,137,14,7,14.622,3-0
South Carolina,3,13.5,0.7594,137,15,1,19.759,2-1
BYU,3,13.14,0.7535,137,16,16,9.975,3-0
Miami,3,13.25,0.7533,137,17,25,7.306,3-0
Penn State,3,12.17,0.736,137,18,9,13.159,3-0
Virginia Tech,3,11.54,0.7261,137,19,46,3.629,3-0
SMU,3,11.52,0.7244,137,20,56,1.84,2-1
Oregon,3,11.35,0.7204,137,21,59,1.324,2-1
Tulsa,3,10.92,0.7148,137,22,30,6.278,3-0
Oklahoma State,3,10.77,0.7103,137,23,66,0.421,2-1
Houston,3,10.64,0.71,137,24,54,2.238,2-1
Kansas State,3,10.57,0.7089,137,25,21,8.703,3-0
Nebraska,3,9.94,0.6986,137,26,4,18.218,3-0
Auburn,3,9.24,0.684,137,27,29,6.36,2-1
Pittsburgh,3,9.02,0.6803,137,28,18,9.813,3-0
Tennessee,3,9.01,0.6802,137,29,17,9.926,3-0
Virginia,3,9.07,0.68,137,30,43,4.125,2-1
UCLA,3,8.85,0.6756,137,31,36,5.781,3-0
Sam Houston,3,8.15,0.6623,137,32,70,-0.108,1-2
UCF,3,7.76,0.6552,137,33,20,8.804,2-1
West Virginia,3,7.75,0.6544,137,34,31,6.122,3-0
Missouri,3,7.38,0.6473,137,35,53,2.288,3-0
Iowa State,3,7.3,0.6472,137,36,37,5.571,2-1
Massachusetts,3,7.21,0.646,137,37,51,2.568,3-0
Oklahoma,3,6.91,0.6404,137,38,13,11.496,2-1
Baylor,3,6.78,0.6353,137,39,42,4.199,2-1
James Madison,3,6.46,0.6309,137,40,27,7.095,3-0
Minnesota,3,5.65,0.615,137,41,89,-2.92,2-1
USC,4,5.57,0.6144,137,42,10,13.117,4-0
Texas Tech,3,5.36,0.6085,137,43,62,0.935,3-0
Northwestern,2,4.98,0.601,137,44,19,9.558,2-0
Kentucky,3,4.53,0.5923,137,45,47,3.475,2-1
Vanderbilt,3,4.33,0.5885,137,46,93,-3.332,3-0
Washington,3,4.33,0.588,137,47,88,-2.836,3-0
New Mexico,3,3.95,0.5799,137,48,28,6.837,2-1
Wisconsin,3,3.7,0.5763,137,49,50,2.855,2-1
Michigan,3,3.27,0.5671,137,50,23,7.835,3-0
Delaware,3,3.31,0.5666,137,51,83,-2.562,2-1
North Carolina,3,3.03,0.5622,137,52,75,-1.372,2-1
Georgia State,3,2.88,0.5581,137,53,61,1.1,2-1
Toledo,3,2.85,0.5579,137,54,58,1.504,2-1
Wake Forest,3,2.8,0.5574,137,55,45,3.666,2-1
Troy,3,2.77,0.5553,137,56,67,0.308,2-1
South Florida,3,2.69,0.5551,137,57,64,0.831,3-0
TCU,3,2.71,0.5549,137,58,68,0.014,2-1
Texas A&M,3,2.7,0.5546,137,59,22,8.134,2-1
Coastal Carolina,3,2.44,0.5492,137,60,57,1.756,1-2
App State,3,2.2,0.5444,137,61,105,-5.684,3-0
Illinois,3,2.11,0.5432,137,62,39,5.287,2-1
Duke,3,1.87,0.5376,137,63,34,5.976,3-0
Arizona,3,1.77,0.5358,137,64,48,3.437,2-1
Boise State,3,1.72,0.5343,137,65,33,6.047,2-1
UConn,3,1.64,0.5324,137,66,95,-3.535,2-1
UTSA,3,1.32,0.5264,137,67,60,1.13,2-1
Army,2,1.23,0.5246,137,68,84,-2.623,1-1
Liberty,3,0.71,0.5136,137,69,55,2.114,2-1
North Dakota State,4,0.12,0.5014,137,70,44,3.963,4-0
Oregon State,3,-0.0,0.4987,137,71,91,-3.172,1-2
Louisiana Tech,3,-0.16,0.4954,137,72,111,-6.65,1-2
NC State,3,-0.64,0.4855,137,73,107,-6.108,1-2
Florida State,3,-0.72,0.4839,137,74,52,2.305,1-2
Michigan State,3,-0.93,0.4795,137,75,24,7.404,2-1
Air Force,2,-1.19,0.4738,137,76,100,-4.976,1-1
Louisiana,3,-1.46,0.4685,137,77,63,0.895,2-1
Kansas,3,-1.52,0.4673,137,78,103,-5.316,1-2
Old Dominion,3,-1.6,0.4657,137,79,92,-3.238,1-2
Navy,2,-1.74,0.4626,137,80,74,-1.061,1-1
Texas State,3,-2.03,0.4568,137,81,106,-6.063,1-2
Temple,3,-2.14,0.4544,137,82,65,0.636,1-2
Arizona State,3,-2.65,0.4445,137,83,79,-2.001,2-1
East Carolina,3,-2.72,0.443,137,84,90,-3.163,1-2
Georgia Southern,3,-2.73,0.4426,137,85,99,-4.62,1-2
Memphis,4,-2.85,0.4398,137,86,80,-2.133,3-1
Purdue,3,-3.01,0.4364,137,87,73,-1.014,1-2
Clemson,3,-3.89,0.4197,137,88,96,-3.557,2-1
Syracuse,3,-3.93,0.4181,137,89,76,-1.496,1-2
Florida International,3,-4.19,0.4127,137,90,113,-6.992,1-2
Tulane,3,-4.68,0.4022,137,91,72,-0.813,1-2
Colorado,3,-4.73,0.402,137,92,110,-6.576,2-1
Georgia Tech,3,-4.91,0.3975,137,93,104,-5.32,1-2
Cincinnati,3,-5.85,0.3795,137,94,40,5.266,3-0
Western Michigan,3,-5.9,0.3783,137,95,69,-0.07,2-1
Jacksonville State,4,-5.87,0.3778,137,96,97,-3.844,2-2
Nevada,3,-6.06,0.3749,137,97,38,5.333,1-2
North Texas,3,-6.18,0.3724,137,98,86,-2.666,1-2
Arkansas,3,-6.21,0.3721,137,99,120,-9.852,1-2
Utah State,3,-6.56,0.3656,137,100,112,-6.853,0-3
UAB,3,-6.48,0.3655,137,101,78,-1.727,1-2
Kennesaw State,3,-6.68,0.3632,137,102,129,-13.133,1-2
Fresno State,3,-6.78,0.3618,137,103,49,3.312,2-1
Charlotte,3,-6.81,0.3605,137,104,109,-6.387,0-3
Middle Tennessee,3,-7.13,0.3531,137,105,98,-4.123,2-1
South Alabama,3,-7.3,0.3499,137,106,94,-3.409,2-1
Florida Atlantic,3,-7.39,0.3492,137,107,122,-10.086,2-1
Colorado State,3,-8.05,0.3374,137,108,77,-1.586,2-1
Washington State,3,-8.43,0.3289,137,109,121,-10.071,1-2
San Diego State,3,-8.67,0.3255,137,110,81,-2.239,1-2
Akron,3,-8.82,0.3221,137,111,130,-13.303,1-2
Rutgers,3,-8.81,0.3218,137,112,82,-2.459,0-3
Arkansas State,3,-8.85,0.3202,137,113,133,-13.918,1-2
California,3,-9.61,0.3084,137,114,85,-2.647,2-1
Miami (OH),3,-10.19,0.2956,137,115,118,-9.187,1-2
Rice,3,-10.45,0.2909,137,116,116,-7.545,1-2
San José State,4,-10.75,0.2887,137,117,102,-5.314,2-2
Boston College,3,-10.72,0.2876,137,118,71,-0.524,2-1
Southern Miss,3,-11.16,0.2802,137,119,119,-9.664,1-2
New Mexico State,3,-11.15,0.2797,137,120,123,-10.736,1-2
Northern Illinois,3,-11.18,0.2796,137,121,128,-11.481,0-3
Ohio,3,-11.36,0.275,137,122,117,-8.304,1-2
Central Michigan,3,-11.9,0.2653,137,123,108,-6.266,2-1
Stanford,3,-12.62,0.2553,137,124,125,-10.931,1-2
UL Monroe,3,-12.74,0.2537,137,125,115,-7.351,0-3
UNLV,3,-15.88,0.2045,137,126,124,-10.809,1-2
Marshall,3,-16.06,0.2007,137,127,87,-2.828,2-1
UTEP,3,-16.37,0.1967,137,128,126,-11.124,1-2
Ball State,3,-16.76,0.1917,137,129,138,-23.554,1-2
Sacramento State,4,-16.95,0.1891,137,130,137,-18.923,1-3
Missouri State,3,-16.92,0.1867,137,131,131,-13.393,1-2
Eastern Michigan,4,-17.51,0.1806,137,132,127,-11.276,1-3
Wyoming,3,-18.0,0.1718,137,133,132,-13.569,1-2
Buffalo,3,-18.97,0.165,137,134,101,-5.01,1-2
Hawai'i,3,-20.1,0.1477,137,135,114,-7.052,1-2
Western Kentucky,3,-20.57,0.1436,137,136,134,-14.273,0-3
Kent State,3,-21.48,0.1311,137,137,135,-18.342,1-2
Bowling Green,3,-23.8,0.1061,137,138,136,-18.489,0-3
