team,gamesPlayed,avgMarginVsAll,avgWinProbVsAll,opponentsSimulated,rank,netAprRank,netApr,record
Indiana,2,23.68,0.8993,135,1,7,14.622,3-0
Miami,2,20.24,0.8612,135,2,25,7.306,3-0
Notre Dame,2,19.29,0.8504,135,3,2,19.621,3-0
Ohio State,2,18.48,0.8401,135,4,15,11.377,2-1
Texas A&M,2,16.35,0.8094,135,5,22,8.134,2-1
Georgia,2,16.06,0.8048,135,6,35,5.919,3-0
USC,3,15.92,0.8044,135,7,10,13.117,4-0
Utah,2,14.68,0.7842,135,8,8,13.653,3-0
Alabama,2,13.83,0.7711,135,9,6,14.973,3-0
LSU,2,13.25,0.7606,135,10,14,11.458,2-1
James Madison,2,12.83,0.7542,135,11,27,7.095,3-0
Florida,2,12.48,0.7485,135,12,11,13.101,3-0
Virginia,2,12.28,0.7446,135,13,43,4.125,2-1
Texas Tech,2,12.22,0.7433,135,14,62,0.935,3-0
Oklahoma,2,12.04,0.7406,135,15,13,11.496,2-1
Pittsburgh,3,11.89,0.738,135,16,18,9.813,3-0
Ole Miss,2,11.61,0.7333,135,17,12,12.436,3-0
Oregon,2,11.59,0.7325,135,18,59,1.324,2-1
Missouri,2,11.55,0.7321,135,19,53,2.288,3-0
BYU,2,10.97,0.7223,135,20,16,9.975,3-0
Auburn,2,10.87,0.7201,135,21,29,6.36,2-1
Texas,2,10.64,0.7161,135,22,3,18.992,3-0
Penn State,2,10.35,0.7114,135,23,9,13.159,3-0
Louisville,2,10.12,0.7059,135,24,26,7.141,2-1
Iowa,2,9.58,0.6963,135,25,32,6.099,3-0
Vanderbilt,2,9.05,0.6868,135,26,93,-3.332,3-0
Mississippi State,2,8.92,0.684,135,27,5,16.914,3-0
South Carolina,2,8.68,0.6794,135,28,1,19.759,2-1
Tennessee,2,8.66,0.6789,135,29,17,9.926,3-0
Michigan,2,8.12,0.6689,135,30,23,7.835,3-0
Kansas State,2,7.9,0.6641,135,31,21,8.703,3-0
SMU,2,7.63,0.6586,135,32,56,1.84,2-1
Washington,2,7.32,0.653,135,33,88,-2.836,3-0
TCU,2,6.92,0.6449,135,34,68,0.014,2-1
South Florida,2,6.88,0.6444,135,35,64,0.831,3-0
Houston,2,6.81,0.643,135,36,54,2.238,2-1
Arizona,2,6.66,0.6399,135,37,48,3.437,2-1
Maryland,2,6.55,0.6375,135,38,41,5.226,2-1
NC State,2,6.49,0.6362,135,39,107,-6.108,1-2
Virginia Tech,2,6.4,0.6347,135,40,46,3.629,3-0
Nebraska,2,5.83,0.6233,135,41,4,18.218,3-0
Baylor,2,5.11,0.6084,135,42,42,4.199,2-1
Toledo,2,4.96,0.6052,135,43,58,1.504,2-1
North Texas,2,4.88,0.6039,135,44,86,-2.666,1-2
Arizona State,2,4.87,0.6034,135,45,79,-2.001,2-1
UCLA,2,4.38,0.5935,135,46,36,5.781,3-0
Wake Forest,2,4.07,0.5869,135,47,45,3.666,2-1
Iowa State,2,3.58,0.5766,135,48,37,5.571,2-1
Old Dominion,2,3.12,0.567,135,49,92,-3.238,1-2
Illinois,2,2.98,0.5645,135,50,39,5.287,2-1
Cincinnati,2,2.75,0.5595,135,51,40,5.266,3-0
Navy,2,2.57,0.5556,135,52,74,-1.061,1-1
UCF,2,2.51,0.5541,135,53,20,8.804,2-1
Kansas,2,2.37,0.5514,135,54,103,-5.316,1-2
Kentucky,2,2.33,0.5505,135,55,47,3.475,2-1
San Diego State,2,1.71,0.5372,135,56,81,-2.239,1-2
North Carolina,2,1.34,0.5295,135,57,75,-1.372,2-1
Florida State,2,1.03,0.5229,135,58,52,2.305,1-2
UTSA,2,0.99,0.522,135,59,60,1.13,2-1
New Mexico,2,0.77,0.5173,135,60,28,6.837,2-1
Michigan State,2,0.7,0.5158,135,61,24,7.404,2-1
West Virginia,2,0.59,0.5134,135,62,31,6.122,3-0
Army,2,0.38,0.5091,135,63,84,-2.623,1-1
Duke,2,0.38,0.5089,135,64,34,5.976,3-0
Clemson,2,0.18,0.5047,135,65,96,-3.557,2-1
