team,slug,conference,oldAdjOff,newAdjOff,deltaAdjOff,oldAdjOffRank,newAdjOffRank,rankChangeAdjOff,oldAdjDef,newAdjDef,deltaAdjDef,oldAdjDefRank,newAdjDefRank,rankChangeAdjDef,oldAdjNet,newAdjNet,deltaAdjNet,oldAdjNetRank,newAdjNetRank,rankChangeAdjNet
Air Force,air-force,MWC,-0.202,3.398,3.6,85,44,41,-2.018,-20.309,-18.291,136,136,0,-8.63,-16.911,-8.281,92,119,-27
Akron,akron,MAC,-0.977,-13.796,-12.818999999999999,122,129,-7,-1.236,-8.365,-7.1290000000000004,133,108,25,-24.19,-22.161,2.029,132,131,1
Alabama,alabama,SEC,0.597,7.847,7.25,27,25,2,0.965,10.206,9.241,16,19,-3,21.13,18.053,-3.076999999999998,14,17,-3
App State,app-state,SBC,-0.855,-6.318,-5.462999999999999,120,105,15,-0.583,-9.72,-9.137,107,116,-9,-17.48,-16.038,1.4420000000000002,119,116,3
Arizona,arizona,B12,0.134,3.327,3.193,53,45,8,0.947,5.073,4.126,17,38,-21,14.27,8.4,-5.869999999999999,22,47,-25
Arizona State,arizona-state,B12,0.091,-0.032,-0.123,60,67,-7,0.709,9.697,8.988,27,21,6,7.98,9.665,1.6849999999999987,42,42,0
Arkansas,arkansas,SEC,1.848,17.92,16.072000000000003,3,3,0,-0.373,-1.046,-0.673,91,73,18,6.94,16.874,9.933999999999997,47,19,28
Arkansas State,arkansas-state,SBC,-1.127,-9.709,-8.581999999999999,127,120,7,-0.355,-10.041,-9.686,90,120,-30,-14.44,-19.75,-5.3100000000000005,107,128,-21
Army,army,AAC,-1.084,-1.995,-0.911,124,79,45,-0.021,-3.36,-3.339,66,88,-22,-1.58,-5.355,-3.7750000000000004,75,79,-4
Auburn,auburn,SEC,0.111,4.747,4.636,55,38,17,1.089,12.576,11.487,8,10,-2,11.34,17.323,5.9830000000000005,31,18,13
BYU,byu,B12,0.578,6.455,5.877,29,30,-1,0.525,7.056,6.531,34,30,4,17.61,13.511,-4.099,18,26,-8
Ball State,ball-state,MAC,-1.588,-20.223,-18.634999999999998,135,136,-1,-0.893,-8.175,-7.282000000000001,125,107,18,-23.78,-28.398,-4.6179999999999986,131,135,-4
Baylor,baylor,B12,0.547,7.254,6.707,30,27,3,0.06,1.586,1.526,60,54,6,3.19,8.84,5.65,63,45,18
Boise State,boise-state,MWC,-0.189,-1.551,-1.3619999999999999,84,71,13,0.392,3.65,3.258,40,43,-3,3.71,2.099,-1.6109999999999998,61,62,-1
Boston College,boston-college,ACC,0.07,3.696,3.6260000000000003,62,43,19,-0.867,-5.499,-4.632,123,103,20,-7.29,-1.803,5.487,87,74,13
Bowling Green,bowling-green,MAC,-1.001,-14.094,-13.093,123,131,-8,-0.501,-4.855,-4.354,101,97,4,-17.7,-18.949,-1.2490000000000023,121,126,-5
Buffalo,buffalo,MAC,-1.106,-13.239,-12.133000000000001,125,127,-2,-0.183,-4.524,-4.341,76,95,-19,-17.71,-17.763,-0.053000000000000824,122,122,0
California,california,ACC,-0.407,0.414,0.821,92,66,26,0.053,-0.507,-0.56,61,70,-9,-3.55,-0.093,3.457,82,67,15
Central Michigan,central-michigan,MAC,-0.685,-7.282,-6.5969999999999995,113,112,1,-0.387,-4.903,-4.516,93,98,-5,-14.04,-12.185,1.8549999999999986,104,103,1
Charlotte,charlotte,AAC,-1.448,-15.892,-14.443999999999999,133,133,0,-0.495,-11.9,-11.405000000000001,100,130,-30,-24.57,-27.792,-3.2220000000000013,133,134,-1
Cincinnati,cincinnati,B12,1.026,10.303,9.277000000000001,16,16,0,0.145,0.192,0.047000000000000014,55,66,-11,4.39,10.495,6.1049999999999995,55,38,17
Clemson,clemson,ACC,0.194,4.936,4.742,49,37,12,0.387,8.186,7.7989999999999995,41,24,17,8.81,13.122,4.311999999999999,40,27,13
Coastal Carolina,coastal-carolina,SBC,-0.907,-9.27,-8.363,121,118,3,-0.86,-11.577,-10.717,122,129,-7,-19.09,-20.847,-1.7570000000000014,124,129,-5
